"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2023","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2022","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2021","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,200,000",""
"SURVEY","2020","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2019","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2018","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,200,000",""
"SURVEY","2017","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,300,000",""
"SURVEY","2016","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2015","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2014","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,000,000",""
"SURVEY","2013","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2012","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2011","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","17,100,000",""
"SURVEY","2010","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,900,000",""
"SURVEY","2009","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,700,000",""
"SURVEY","2008","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,800,000",""
"SURVEY","2007","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,800,000",""
"SURVEY","2006","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,800,000",""
"SURVEY","2005","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,600,000",""
"SURVEY","2004","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,600,000",""
"SURVEY","2003","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,500,000",""
"SURVEY","2002","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,600,000",""
"SURVEY","2001","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,500,000",""
"SURVEY","2000","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,500,000",""
"SURVEY","1999","FIRST OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CATTLE","CATTLE, ON FEED - CAPACITY, MEASURED IN HEAD","CAPACITY","CAPACITY: (1,000 OR MORE HEAD)","16,200,000",""
